theta,v_w,H,pilot_kappa,s_vw_fit,p_fit,q_fit,kappa_fit,lambda_fit,A0_theta_fit,A_eff_fit,rel_rmse
1.308996938995747,0.7,2.0,0.9452799999999454,0.2500414256406645,3.2461426726972884,2.0,0.23635915882959369,1.8055166546366528,0.6833103890463863,0.21467632960131974,0.009025124010367726
1.308996938995747,0.9,0.05,2.385360000005034,0.37230612488506104,3.2461426726972884,2.0,0.8,1.8055166546366528,0.6833103890463863,0.4853808982882018,0.09442175867706894
1.308996938995747,0.9,0.1,2.337839999999743,0.37230612488506104,3.2461426726972884,2.0,0.8,1.8055166546366528,0.6833103890463863,0.4853808982882018,0.09349988175883646
1.308996938995747,0.9,0.2,2.1491999999997637,0.37230612488506104,3.2461426726972884,2.0,0.8,1.8055166546366528,0.6833103890463863,0.4853808982882018,0.05311388894225556
1.308996938995747,0.9,0.5,1.7582399999998066,0.37230612488506104,3.2461426726972884,2.0,0.6546035210178377,1.8055166546366528,0.6833103890463863,0.4853808982882018,0.020333735175037296
1.308996938995747,0.9,1.0,1.457999999999849,0.37230612488506104,3.2461426726972884,2.0,0.5428223300823628,1.8055166546366528,0.6833103890463863,0.4853808982882018,0.016472195751052972
1.308996938995747,0.9,1.5,1.309679999999897,0.37230612488506104,3.2461426726972884,2.0,0.48760188563942836,1.8055166546366528,0.6833103890463863,0.4853808982882018,0.01436609423565763
1.308996938995747,0.9,2.0,1.167119999999935,0.37230612488506104,3.2461426726972884,2.0,0.4345259244758283,1.8055166546366528,0.6833103890463863,0.4853808982882018,0.01934612191453302
1.832595714594046,0.3,0.05,1.4940000000031528,0.1297397878886659,3.2461426726972884,2.0,0.19383124310607588,2.036864678470258,1.054589382258309,0.021171146957779583,0.07523677105724787
1.832595714594046,0.3,0.1,1.394160000000092,0.1297397878886659,3.2461426726972884,2.0,0.18087802268287437,2.036864678470258,1.054589382258309,0.021171146957779583,0.12906860997221403
1.832595714594046,0.3,0.2,1.154639999999873,0.1297397878886659,3.2461426726972884,2.0,0.1498027486877527,2.036864678470258,1.054589382258309,0.021171146957779583,0.20668505924404681
1.832595714594046,0.3,0.5,0.8611199999999054,0.1297397878886659,3.2461426726972884,2.0,0.1117215261466757,2.036864678470258,1.054589382258309,0.021171146957779583,0.12313422704355988
1.832595714594046,0.3,1.0,0.6794399999999283,0.1297397878886659,3.2461426726972884,2.0,0.08815040148306585,2.036864678470258,1.054589382258309,0.021171146957779583,0.03420176713564408
1.832595714594046,0.3,1.5,0.5992799999999477,0.1297397878886659,3.2461426726972884,2.0,0.07775046008591291,2.036864678470258,1.054589382258309,0.021171146957779583,0.024686379585049375
1.832595714594046,0.3,2.0,0.5251199999999634,0.1297397878886659,3.2461426726972884,2.0,0.06812895741609148,2.036864678470258,1.054589382258309,0.021171146957779583,0.0352022615081256
1.832595714594046,0.5,0.05,1.9392000000040923,0.17721569422477954,3.2461426726972884,2.0,0.3436566742414177,2.036864678470258,1.054589382258309,0.11114682975073456,0.0504723666806465
1.832595714594046,0.5,0.1,1.8483999999997964,0.17721569422477954,3.2461426726972884,2.0,0.3275654892050464,2.036864678470258,1.054589382258309,0.11114682975073456,0.0913495147714624
1.832595714594046,0.5,0.2,1.579999999999826,0.17721569422477954,3.2461426726972884,2.0,0.2800007968751208,2.036864678470258,1.054589382258309,0.11114682975073456,0.17446188949144598
