Hb,vw,theta0,tau_n,mass_on_tau,t_trig,kappa
10.0,0.7,0.7853981633974483,0.1,0.1,0.770400000000014,0.46928000000000974
0.001,0.7,1.308996938995747,1000.0,1000.0,1002.9304000000973,2.0512800000680955
0.0013738237958832624,0.7,1.308996938995747,727.8953843983153,727.8953843983153,730.8257843984126,2.0512800000680955
0.0018873918221350976,0.7,1.308996938995747,529.8316906283708,529.8316906283708,532.7620906284681,2.0512800000680955
0.002592943797404667,0.7,1.308996938995747,385.66204211634727,385.66204211634727,388.59244211644454,2.0512800000680955
0.003562247890262444,0.7,1.308996938995747,280.72162039411756,280.72162039411756,283.65282039421487,2.051840000068114
0.004893900918477494,0.7,1.308996938995747,204.33597178569417,204.33597178569417,207.26717178568734,2.051839999995218
0.006723357536499335,0.7,1.308996938995747,148.7352107293512,148.7352107293512,151.66641072934436,2.051839999995218
0.009236708571873866,0.7,1.308996938995747,108.2636733874054,108.2636733874054,111.19487338739857,2.051839999995218
0.01268961003167922,0.7,1.308996938995747,78.80462815669912,78.80462815669912,81.73582815669229,2.051839999995218
0.017433288221999882,0.7,1.308996938995747,57.36152510448679,57.36152510448679,60.292725104479956,2.051839999995218
0.02395026619987486,0.7,1.308996938995747,41.753189365604,41.753189365604,44.68358936559717,2.051279999995219
0.03290344562312668,0.7,1.308996938995747,30.391953823131978,30.391953823131978,33.32155382313229,2.050720000000219
0.04520353656360243,0.7,1.308996938995747,22.12216291070449,22.12216291070449,25.02696291071062,2.033360000004291
0.06210169418915616,0.7,1.308996938995747,16.102620275609393,16.102620275609393,18.98182027561547,2.015440000004253
0.08531678524172806,0.7,1.308996938995747,11.721022975334805,11.721022975334805,14.550622975334493,1.9807199999997818
0.11721022975334805,0.7,1.308996938995747,8.531678524172806,8.531678524172806,11.3076785241725,1.9431999999997858
0.16102620275609392,0.7,1.308996938995747,6.2101694189156165,6.2101694189156165,8.884569418915323,1.8720799999997944
0.2212216291070448,0.7,1.308996938995747,4.520353656360245,4.520353656360245,7.0883536563599625,1.7975999999998018
0.3039195382313198,0.7,1.308996938995747,3.2903445623126677,3.2903445623126677,5.705544562312402,1.6906399999998136
0.41753189365604004,0.7,1.308996938995747,2.395026619987486,2.395026619987486,4.651826619987237,1.579759999999826
0.5736152510448681,0.7,1.308996938995747,1.7433288221999874,1.7433288221999874,3.817728822199759,1.45207999999984
0.7880462815669912,0.7,1.308996938995747,1.2689610031679222,1.2689610031679222,3.150561003167715,1.317119999999855
1.0826367338740541,0.7,1.308996938995747,0.9236708571873865,0.9236708571873865,2.62207085718721,1.1888799999998765
1.4873521072935119,0.7,1.308996938995747,0.6723357536499335,0.6723357536499335,2.192335753649812,1.0639999999999148
2.0433597178569416,0.7,1.308996938995747,0.48939009184774945,0.48939009184774945,1.8397900918476715,0.9452799999999454
2.8072162039411754,0.7,1.308996938995747,0.35622478902624444,0.35622478902624444,1.5490247890262023,0.8349599999999705
3.856620421163472,0.7,1.308996938995747,0.2592943797404667,0.2592943797404667,1.3088943797404538,0.7347199999999908
5.298316906283707,0.7,1.308996938995747,0.18873918221350977,0.18873918221350977,1.107139182213519,0.6428800000000064
7.278953843983146,0.7,1.308996938995747,0.1373823795883264,0.1373823795883264,0.9389823795883454,0.5611200000000133
10.0,0.7,1.308996938995747,0.1,0.1,0.7976000000000147,0.4883200000000103
0.001,0.7,1.832595714594046,1000.0,1000.0,1003.494400000116,2.446080000081201
0.0013738237958832624,0.7,1.832595714594046,727.8953843983153,727.8953843983153,731.3897843984313,2.446080000081201
0.0018873918221350976,0.7,1.832595714594046,529.8316906283708,529.8316906283708,533.3252906284868,2.4455200000811828
0.002592943797404667,0.7,1.832595714594046,385.66204211634727,385.66204211634727,389.15564211646324,2.4455200000811828
0.003562247890262444,0.7,1.832595714594046,280.72162039411756,280.72162039411756,284.21522039423354,2.4455200000811828
0.004893900918477494,0.7,1.832595714594046,204.33597178569417,204.33597178569417,207.82957178568603,2.4455199999943003
0.006723357536499335,0.7,1.832595714594046,148.7352107293512,148.7352107293512,152.22801072934305,2.4449599999943015
0.009236708571873866,0.7,1.832595714594046,108.2636733874054,108.2636733874054,111.73327338739732,2.4287199999943394
0.01268961003167922,0.7,1.832595714594046,78.80462815669912,78.80462815669912,82.27262815669104,2.4275999999943423
0.017433288221999882,0.7,1.832595714594046,57.36152510448679,57.36152510448679,60.82872510447871,2.4270399999943435
0.02395026619987486,0.7,1.832595714594046,41.753189365604,41.753189365604,45.19478936559598,2.409119999994385
0.03290344562312668,0.7,1.832595714594046,30.391953823131978,30.391953823131978,33.80795382313116,2.391199999999426
0.04520353656360243,0.7,1.832595714594046,22.12216291070449,22.12216291070449,25.48776291071159,2.3559200000049714
0.06210169418915616,0.7,1.832595714594046,16.102620275609393,16.102620275609393,19.416220275616386,2.3195200000048946
0.08531678524172806,0.7,1.832595714594046,11.721022975334805,11.721022975334805,14.957022975334448,2.2651999999997505
0.11721022975334805,0.7,1.832595714594046,8.531678524172806,8.531678524172806,11.664478524172461,2.192959999999758
0.16102620275609392,0.7,1.832595714594046,6.2101694189156165,6.2101694189156165,9.213369418915287,2.1022399999997687
0.2212216291070448,0.7,1.832595714594046,4.520353656360245,4.520353656360245,7.367553656359932,1.9930399999997803
0.3039195382313198,0.7,1.832595714594046,3.2903445623126677,3.2903445623126677,5.939944562312376,1.8547199999997956
0.41753189365604004,0.7,1.832595714594046,2.395026619987486,2.395026619987486,4.855026619987215,1.7219999999998103
0.5736152510448681,0.7,1.832595714594046,1.7433288221999874,1.7433288221999874,3.99132882219974,1.5735999999998267
0.7880462815669912,0.7,1.832595714594046,1.2689610031679222,1.2689610031679222,3.304961003167698,1.425199999999843
1.0826367338740541,0.7,1.832595714594046,0.9236708571873865,0.9236708571873865,2.7540708571871955,1.2812799999998663
1.4873521072935119,0.7,1.832595714594046,0.6723357536499335,0.6723357536499335,2.3059357536497993,1.143519999999906
2.0433597178569416,0.7,1.832595714594046,0.48939009184774945,0.48939009184774945,1.9373900918476608,1.0135999999999379
2.8072162039411754,0.7,1.832595714594046,0.35622478902624444,0.35622478902624444,1.633024789026193,0.893759999999964
3.856620421163472,0.7,1.832595714594046,0.2592943797404667,0.2592943797404667,1.379294379740446,0.7839999999999854
5.298316906283707,0.7,1.832595714594046,0.18873918221350977,0.18873918221350977,1.1679391822135123,0.6854400000000017
7.278953843983146,0.7,1.832595714594046,0.1373823795883264,0.1373823795883264,0.9909823795883469,0.5975200000000144
10.0,0.7,1.832595714594046,0.1,0.1,0.842400000000016,0.5196800000000112
0.001,0.7,2.356194490192345,1000.0,1000.0,1004.3640000001449,3.054800000101409
0.0013738237958832624,0.7,2.356194490192345,727.8953843983153,727.8953843983153,732.2585843984601,3.05424000010139
0.0018873918221350976,0.7,2.356194490192345,529.8316906283708,529.8316906283708,534.1948906285156,3.05424000010139
0.002592943797404667,0.7,2.356194490192345,385.66204211634727,385.66204211634727,390.0244421164921,3.0536800001013713
0.003562247890262444,0.7,2.356194490192345,280.72162039411756,280.72162039411756,285.0608203942616,3.0374400001008324
0.004893900918477494,0.7,2.356194490192345,204.33597178569417,204.33597178569417,208.67357178568406,3.0363199999929233
0.006723357536499335,0.7,2.356194490192345,148.7352107293512,148.7352107293512,153.04961072934114,3.0200799999929613
0.009236708571873866,0.7,2.356194490192345,108.2636733874054,108.2636733874054,112.57487338739536,3.0178399999929666
0.01268961003167922,0.7,2.356194490192345,78.80462815669912,78.80462815669912,83.09022815668914,2.999919999993008
0.017433288221999882,0.7,2.356194490192345,57.36152510448679,57.36152510448679,61.62072510447686,2.9814399999930514
0.02395026619987486,0.7,2.356194490192345,41.753189365604,41.753189365604,45.96198936559419,2.9461599999931334
0.03290344562312668,0.7,2.356194490192345,30.391953823131978,30.391953823131978,34.52715382312948,2.8946399999982524
0.04520353656360243,0.7,2.356194490192345,22.12216291070449,22.12216291070449,26.179762910713052,2.8403200000059936
0.06210169418915616,0.7,2.356194490192345,16.102620275609393,16.102620275609393,20.057020275617738,2.7680800000058414
0.08531678524172806,0.7,2.356194490192345,11.721022975334805,11.721022975334805,15.546622975334383,2.677919999999705
0.11721022975334805,0.7,2.356194490192345,8.531678524172806,8.531678524172806,12.200478524172402,2.568159999999717
0.16102620275609392,0.7,2.356194490192345,6.2101694189156165,6.2101694189156165,9.694169418915234,2.438799999999732
0.2212216291070448,0.7,2.356194490192345,4.520353656360245,4.520353656360245,7.781153656359886,2.2825599999997483
0.3039195382313198,0.7,2.356194490192345,3.2903445623126677,3.2903445623126677,6.317544562312334,2.1190399999997664
0.41753189365604004,0.7,2.356194490192345,2.395026619987486,2.395026619987486,5.17342661998718,1.9448799999997857
0.5736152510448681,0.7,2.356194490192345,1.7433288221999874,1.7433288221999874,4.27212882219971,1.7701599999998054
0.7880462815669912,0.7,2.356194490192345,1.2689610031679222,1.2689610031679222,3.549761003167671,1.5965599999998241
1.0826367338740541,0.7,2.356194490192345,0.9236708571873865,0.9236708571873865,2.9644708571871723,1.42855999999985
1.4873521072935119,0.7,2.356194490192345,0.6723357536499335,0.6723357536499335,2.4867357536497794,1.270079999999892
2.0433597178569416,0.7,2.356194490192345,0.48939009184774945,0.48939009184774945,2.0925900918476437,1.122239999999926
2.8072162039411754,0.7,2.356194490192345,0.35622478902624444,0.35622478902624444,1.7658247890261785,0.9867199999999537
3.856620421163472,0.7,2.356194490192345,0.2592943797404667,0.2592943797404667,1.4936943797404334,0.8640799999999766
5.298316906283707,0.7,2.356194490192345,0.18873918221350977,0.18873918221350977,1.2655391822135016,0.7537599999999942
7.278953843983146,0.7,2.356194490192345,0.1373823795883264,0.1373823795883264,1.074182379588339,0.6557600000000087
10.0,0.7,2.356194490192345,0.1,0.1,0.9136000000000181,0.5695200000000126
0.001,0.7,2.879793265790644,1000.0,1000.0,1006.0504000002009,4.235280000140596
0.0013738237958832624,0.7,2.879793265790644,727.8953843983153,727.8953843983153,733.9433843985161,4.233600000140541
