theta0	H_PT	beta_over_H	beta	v_w	rho_noPT	mean_ratio	std_ratio	N_samples
2.454369260617e-02	0.05	20	1.0	0.5	6.107022727520e-09	6.362722771743e+01	1.905567910212e+00	5
2.454369260617e-02	0.05	20	1.0	0.9	6.107022727520e-09	8.303002926017e+01	4.744757912832e+00	5
2.454369260617e-02	0.05	40	2.0	0.5	6.107022727520e-09	7.682059045757e+01	6.490134526294e-01	5
2.454369260617e-02	0.05	40	2.0	0.9	6.107022727520e-09	8.239857241509e+01	5.860713626031e-01	5
2.454369260617e-02	0.1	4	0.4	0.5	3.149094425225e-09	1.132202417529e+02	8.867214589643e+00	5
2.454369260617e-02	0.1	4	0.4	0.9	3.149094425225e-09	1.726854034657e+02	2.493732396134e+01	5
2.454369260617e-02	0.1	8	0.8	0.5	3.149094425225e-09	1.611404765759e+02	5.326591618745e+00	5
2.454369260617e-02	0.1	8	0.8	0.9	3.149094425225e-09	2.158655619243e+02	1.131569913531e+01	5
2.454369260617e-02	0.1	10	1.0	0.5	3.149094425225e-09	1.834063482000e+02	7.449360904178e+00	5
2.454369260617e-02	0.1	10	1.0	0.9	3.149094425225e-09	2.174384972065e+02	5.730051982858e+00	5
2.454369260617e-02	0.1	20	2.0	0.5	3.149094425225e-09	2.134601454825e+02	1.185591452339e+00	5
2.454369260617e-02	0.1	20	2.0	0.9	3.149094425225e-09	2.088924100537e+02	2.787061836578e+00	5
2.454369260617e-02	0.1	40	4.0	0.5	3.149094425225e-09	1.903233604773e+02	2.401950700396e-01	5
2.454369260617e-02	0.1	40	4.0	0.9	3.149094425225e-09	1.830337881295e+02	4.374644587052e-01	5
1.227184630309e-02	0.05	4	0.2	0.5	1.526637731786e-09	2.999012204911e+01	3.692497206327e+00	5
1.227184630309e-02	0.05	4	0.2	0.9	1.526637731786e-09	4.746562538924e+01	1.143938113820e+01	5
1.227184630309e-02	0.05	8	0.4	0.5	1.526637731786e-09	4.021028628268e+01	2.141587884458e+00	5
1.227184630309e-02	0.05	8	0.4	0.9	1.526637731786e-09	6.354010400764e+01	1.215861111077e+01	5
1.227184630309e-02	0.05	10	0.5	0.5	1.526637731786e-09	4.185581285641e+01	3.014091132909e+00	5
1.227184630309e-02	0.05	10	0.5	0.9	1.526637731786e-09	6.737568680067e+01	7.126307125424e+00	5
1.227184630309e-02	0.05	20	1.0	0.5	1.526637731786e-09	6.203846026256e+01	3.332245086833e+00	5
1.227184630309e-02	0.05	20	1.0	0.9	1.526637731786e-09	8.330542064407e+01	1.849306750667e+00	5
1.227184630309e-02	0.05	40	2.0	0.5	1.526637731786e-09	7.402629070791e+01	5.698481558877e-01	5
1.227184630309e-02	0.05	40	2.0	0.9	1.526637731786e-09	8.212718277283e+01	7.878011530925e-01	5
1.227184630309e-02	0.1	4	0.4	0.5	7.875110696887e-10	1.075332091204e+02	7.888675673534e+00	5
1.227184630309e-02	0.1	4	0.4	0.9	7.875110696887e-10	1.866769378957e+02	1.951268282783e+01	5
1.227184630309e-02	0.1	8	0.8	0.5	7.875110696887e-10	1.578181208809e+02	8.584576125743e+00	5
1.227184630309e-02	0.1	8	0.8	0.9	7.875110696887e-10	2.157750700658e+02	1.621384280234e+01	5
1.227184630309e-02	0.1	10	1.0	0.5	7.875110696887e-10	1.760325909759e+02	9.056632964852e+00	5
1.227184630309e-02	0.1	10	1.0	0.9	7.875110696887e-10	2.139104309583e+02	8.001455308243e+00	5
1.227184630309e-02	0.1	20	2.0	0.5	7.875110696887e-10	2.124763525126e+02	1.692740069191e+00	5
1.227184630309e-02	0.1	20	2.0	0.9	7.875110696887e-10	2.056500701774e+02	2.077858195741e+00	5
1.227184630309e-02	0.1	40	4.0	0.5	7.875110696887e-10	1.912407729846e+02	4.223921336922e-01	5
1.227184630309e-02	0.1	40	4.0	0.9	7.875110696887e-10	1.832000580738e+02	6.210792639224e-01	5
